nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.728016006204811994e+00,-5.221467644771513150e+00,-3.639405883590664192e+00,-2.298497949753559144e+00,8.472916975625895131e-02,-1.438987625151696870e+00,4.749488223169868739e-01,1.454736466785552240e+00,3.040640518930494363e+00,3.245282139175942326e+00,4.246085221121198572e+00,4.174239830596222944e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.938012416417052464e+00,-7.553983711635657627e+00,-7.043744375253035983e+00,-5.273773555758651810e+00,-5.121725691685866444e+00,-4.304375093548854281e+00,-3.729246448587869800e+00,-2.184803129855859005e+00,-1.797510335686476113e+00,-1.224968695412457675e+00,2.841575297251012877e+00,1.760758806429256751e+00,1.921006314221775702e+00,3.197551313747618362e+00,3.930089210777783837e+00,5.057851152941232442e+00,5.380253044544410557e+00,6.111228063871585903e+00,7.297169523221660903e+00,8.997881072460154783e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.125496333474265498e+01,-9.842989639693012549e+00,-1.006393749952274597e+01,-8.086660377698798641e+00,-7.446393115254473116e+00,-6.386498664601617747e+00,-5.290734902712102894e+00,-5.196557168713734853e+00,-4.097136327385327625e+00,-3.670430527523510289e+00,-2.752028846439946275e+00,-1.365922428615092388e+00,2.781992980384973002e-01,2.010879009474531021e-01,2.124175403948302954e+00,3.540192048362783783e+00,3.157755016741430332e+00,4.914320424024655409e+00,5.951440346861460284e+00,6.488325479221519032e+00,6.701030957638931973e+00,6.797219255899665136e+00,7.676555931211358264e+00,8.510533873113645953e+00,1.064098105140013040e+01,1.141302548426210350e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.146005988442317935e+01,-1.230130631543313768e+01,-1.231734859013885774e+01,-1.126473199331845443e+01,-9.644545549018781472e+00,-9.803074873370015041e+00,-7.834869664903751030e+00,-6.247345401365484996e+00,-6.622039143489711677e+00,-6.194099855962003076e+00,-5.397313410885520746e+00,-2.978029511699352483e+00,-3.118441635658099287e+00,-2.279250298172855516e+00,-5.217709917539988806e-01,6.958808558828987190e-01,1.825681381575008810e+00,2.920516776732828390e+00,3.475781696676089272e+00,4.372596186085985437e+00,5.551380274306342066e+00,6.609769170272290495e+00,8.274703559138268716e+00,8.207988426945384219e+00,8.624031697208506486e+00,1.044638285802943578e+01,8.653126201351129865e+00,1.047759073799000085e+01,1.005435770742657020e+01,1.221604680364103679e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.314086087014209348e+01,-1.212851367728896435e+01,-1.191435265090787254e+01,-1.229147243693213198e+01,-1.076048528632181167e+01,-1.025784715086270715e+01,-9.319297094678784532e+00,-8.371080373867279434e+00,-8.648143607530672128e+00,-7.751978689180111459e+00,-6.648571586375080500e+00,-5.856815437445328065e+00,-5.576045815665566785e+00,-4.937232963827381305e+00,-2.597031484070699392e+00,-1.783594291922771635e+00,-4.141566827638294979e-01,1.058189530443762516e+00,1.489982028252706758e+00,3.321618885205690486e+00,3.487511766285053216e+00,4.219338327672149447e+00,5.245832151228956519e+00,6.695270518925814152e+00,8.029213618494148719e+00,7.568669326227922767e+00,9.021295868352057212e+00,1.039109997597777735e+01,1.196467506652520107e+01,1.252332700421184697e+01,1.253809090830642070e+01,1.331231523239201131e+01,1.439131172351311605e+01,1.563391553343333484e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.609504832456895684e+01,-1.349876434667789660e+01,-1.345121172027236156e+01,-1.493822675673835398e+01,-1.225624524955149042e+01,-1.359268669747056713e+01,-1.156726336906317698e+01,-1.200106833408792717e+01,-9.501538026691575212e+00,-7.543713749010166225e+00,-7.862917347548790126e+00,-7.206595112879619514e+00,-6.869021895326246963e+00,-5.091572883274201544e+00,-4.964106225012747231e+00,-4.169241847872122264e+00,-2.471722575111945819e+00,-1.563496151699881320e+00,-1.888129153464656040e-01,1.370540336613314203e+00,1.875529282142512022e+00,2.441402437668421577e+00,4.173221435043414473e+00,4.208933798116850866e+00,5.479617368543704181e+00,6.357729774774099063e+00,6.877178062684188298e+00,7.721337364847348894e+00,9.801569325294646973e+00,1.060881969648392165e+01,1.389480672178552112e+01,1.125762357409669434e+01,1.289186051096476859e+01,1.460249515867372949e+01,1.272506806727592199e+01,1.452227778102199096e+01,1.670530396228993197e+01,1.626518416207001039e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.579180951626057627e+01,-1.567961304137613254e+01,-1.457897367361671037e+01,-1.456794282226007375e+01,-1.428798147721250977e+01,-1.402472756730600700e+01,-1.257311002662796362e+01,-1.232576028609339858e+01,-1.143234518409033029e+01,-1.136102134601259550e+01,-9.092549048121188804e+00,-7.250901527829418214e+00,-8.048672001172464618e+00,-7.186225097739901813e+00,-6.072846045939472859e+00,-5.342378882242241112e+00,-4.354549438880608747e+00,-3.317836986111015740e+00,-1.581031122079497919e+00,-1.679340873122530109e+00,-3.492599278694726722e-02,1.277058838620605208e+00,3.140361227469422367e+00,4.425151701998773390e+00,5.421803583601565002e+00,5.465303159373559261e+00,6.156149203345482768e+00,8.218765035004665265e+00,1.002905672960348404e+01,8.479192751336539047e+00,1.027356578901355988e+01,1.157436220435311292e+01,1.129103765198952125e+01,1.406699017204348579e+01,1.263738545779222022e+01,1.459428014397074769e+01,1.444701036974371888e+01,1.580710630124443128e+01,1.554728131771844346e+01,1.647289922191411549e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.821631266048538578e+01,-1.783618193455008694e+01,-1.652348962970769719e+01,-1.639261006265923726e+01,-1.701978312471885246e+01,-1.430471169797132447e+01,-1.458505746895969146e+01,-1.337614587652265108e+01,-1.414241874184072856e+01,-1.119755560369130087e+01,-1.026167961463238498e+01,-1.084291234069932486e+01,-9.755194269457751588e+00,-9.396914621905702703e+00,-7.814693375790744412e+00,-7.193868510688199436e+00,-5.829068041221832530e+00,-4.088214196854974780e+00,-3.622545349671373760e+00,-2.241136622703891135e+00,-1.489343424876825139e+00,-1.278185507064813486e-01,6.093354114046650727e-01,2.233890560297790984e+00,2.991874477356680107e+00,3.732422921752077905e+00,5.888875545311766935e+00,6.526096363669869227e+00,6.546057550222936783e+00,7.790577493352136784e+00,8.887155757757460250e+00,9.750090894019610488e+00,1.056374707894907417e+01,1.226338570693434704e+01,1.238692619684546692e+01,1.312254260946136064e+01,1.431282055614275528e+01,1.507305808566518124e+01,1.452608447066116604e+01,1.705675274604937286e+01,1.798952459609065357e+01,1.690153201342889844e+01,1.749408967835935513e+01,1.802743599678691666e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.588203385175425986e+01,-1.569670382790096852e+01,-1.667704540020763204e+01,-1.505148014324240080e+01,-1.568877289707287837e+01,-1.505835630071197784e+01,-1.551069098303780613e+01,-1.404256614093166888e+01,-1.493614867030897919e+01,-1.260019030115636340e+01,-1.098710667199563673e+01,-1.076914622503054275e+01,-1.166399161788402594e+01,-9.212262127962409508e+00,-8.498829741316889397e+00,-8.464394779107518474e+00,-6.737062438764378491e+00,-6.712033994113667745e+00,-5.511129895366678078e+00,-3.468251067889470907e+00,-3.048132179255105711e+00,-1.808980981438198299e+00,-1.138868566761110257e+00,1.031007965880814892e+00,1.670431787762177045e+00,2.693852625570729575e+00,4.081375193922019307e+00,5.767240174611885095e+00,6.609351261115917531e+00,6.783724620143102513e+00,7.832677093196500628e+00,8.509659501843614748e+00,9.555381749179950646e+00,1.157804397681219832e+01,1.163053679449640043e+01,1.197756743949597613e+01,1.243024258331273479e+01,1.393725313528788590e+01,1.425817181345438023e+01,1.525369267676142826e+01,1.596576360920248128e+01,1.527606754205568507e+01,1.541700584959660070e+01,1.582828954093184670e+01,1.774282568510549396e+01,1.886657436490222040e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.851992215569260480e+01,-1.712865155787421756e+01,-1.791898194664978305e+01,-1.637209441744546368e+01,-1.786234284550157625e+01,-1.800264648421930858e+01,-1.700256605875342686e+01,-1.552501906618527983e+01,-1.462927468242523688e+01,-1.474903222703303385e+01,-1.371289960683918530e+01,-1.331190703378148221e+01,-1.160998822229680449e+01,-9.550578265153415458e+00,-1.049812672036902228e+01,-8.741613675772530456e+00,-8.705747756953700289e+00,-6.676351147706170330e+00,-6.104485645203267197e+00,-4.956373400481567160e+00,-3.950001625061768884e+00,-2.746329478237159005e+00,-1.355492301235921904e+00,-6.011646858419059658e-01,1.150202297303536403e+00,1.981753905352110712e+00,2.422713595978433609e+00,5.465667894079094147e+00,5.938106694257100138e+00,5.602253866902509927e+00,6.829801144419525016e+00,7.309902596206086400e+00,8.362173509621126044e+00,1.043457209293872623e+01,1.117520655511863126e+01,1.110901598782698763e+01,1.130855336604941996e+01,1.359687461923626373e+01,1.473854201271177899e+01,1.585582957054753805e+01,1.542179083768583681e+01,1.522306348335735926e+01,1.776311335198095875e+01,1.520513592496673105e+01,1.794561639792452823e+01,1.728313516720730547e+01,1.752918170655560459e+01,1.793406737284853136e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
